label	step	query	ms	rows	note
after	3-dbstat	idx_token_search_parameters_owner	0	0	213204992
after	3-dbstat	idx_reference_search_parameters_identifier_cover	0	0	200986624
after	3-dbstat	idx_reference_search_parameters_owner	0	0	172322816
after	3-dbstat	uri_search_parameters	0	0	147775488
after	3-dbstat	idx_uri_search_parameters_value_cover	0	0	142032896
after	3-dbstat	quantity_search_parameters	0	0	125968384
after	3-dbstat	idx_composite_search_parameters_values_cover	0	0	111345664
after	3-dbstat	date_search_parameters	0	0	104603648
after	3-dbstat	idx_composite_search_parameters_owner	0	0	68235264
after	3-dbstat	idx_date_search_parameters_low_cover	0	0	65773568
after	3-dbstat	idx_date_search_parameters_high_cover	0	0	65773568
after	3-dbstat	idx_quantity_search_parameters_high_cover	0	0	63029248
after	3-dbstat	idx_quantity_search_parameters_low_cover	0	0	63025152
after	3-dbstat	sqlite_autoindex_resources_history_1	0	0	62697472
after	3-dbstat	sqlite_autoindex_resources_1	0	0	60715008
after	3-dbstat	idx_uri_search_parameters_owner	0	0	54538240
after	3-dbstat	idx_date_search_parameters_owner	0	0	53993472
after	3-dbstat	string_search_parameters	0	0	46714880
after	3-dbstat	idx_quantity_search_parameters_owner	0	0	42557440
after	3-dbstat	idx_string_search_parameters_exact_cover	0	0	36909056
after	3-dbstat	idx_string_search_parameters_value_cover	0	0	36782080
after	3-dbstat	idx_resources_type_updated	0	0	26107904
after	3-dbstat	idx_resources_history_type_updated	0	0	26107904
after	3-dbstat	idx_string_search_parameters_owner	0	0	24670208
after	3-dbstat	sqlite_schema	0	0	20480
after	3-dbstat	users	0	0	4096
after	3-dbstat	sync_resources	0	0	4096
after	3-dbstat	sqlite_stat1	0	0	4096
after	3-dbstat	sqlite_sequence	0	0	4096
after	3-dbstat	sqlite_autoindex_users_1	0	0	4096
after	3-dbstat	sqlite_autoindex_sync_resources_1	0	0	4096
after	3-dbstat	sqlite_autoindex_revoked_tokens_1	0	0	4096
after	3-dbstat	sqlite_autoindex_oauth_clients_1	0	0	4096
after	3-dbstat	sqlite_autoindex_export_jobs_1	0	0	4096
after	3-dbstat	sqlite_autoindex_canonical_resources_1	0	0	4096
after	3-dbstat	sqlite_autoindex_authorization_codes_1	0	0	4096
after	3-dbstat	special_search_parameters	0	0	4096
after	3-dbstat	revoked_tokens	0	0	4096
after	3-dbstat	oauth_clients	0	0	4096
after	3-dbstat	number_search_parameters	0	0	4096
after	3-dbstat	logs	0	0	4096
after	3-dbstat	idx_uri_search_parameters_contained	0	0	4096
after	3-dbstat	idx_token_search_parameters_contained	0	0	4096
after	3-dbstat	idx_string_search_parameters_contained	0	0	4096
after	3-dbstat	idx_special_search_parameters_value_cover	0	0	4096
after	3-dbstat	idx_special_search_parameters_owner	0	0	4096
after	3-dbstat	idx_special_search_parameters_contained	0	0	4096
after	3-dbstat	idx_reference_search_parameters_contained	0	0	4096
after	3-dbstat	idx_quantity_search_parameters_contained	0	0	4096
after	3-dbstat	idx_number_search_parameters_owner	0	0	4096
after	3-dbstat	idx_number_search_parameters_low_cover	0	0	4096
after-shape	0-open	open (upgrade if behind)	132	18	
after-shape	0-open	user_version	0	18	
after-shape	0-open	createValueIndexes (IF NOT EXISTS)	38531	0	
after-shape	0-open	db bytes	0	0	6947524608
after-shape	0-analyze	ANALYZE	4020	0	
after-shape	0-patients	big patient 77e10fd0-6a1c-5547-a130-fae1341acf36	0	48554	
after-shape	0-patients	small patient 42f0ed8f-d744-5edb-a05d-8e011c1fbd64	0	963	
after-shape	0-patients	system of code 227969	0	0	http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items
after-shape	1-r1	status=final&_sort=-date	1834	20	
after-shape	1-r1	subject=big&_sort=-date	390	20	
after-shape	1-r1	subject=small&_sort=-date	107	20	
after-shape	1-r1	subject=big	933	20	
after-shape	1-r1	Patient/big compartment Observation	657	20	
after-shape	1-r1	code=227969	256	20	
after-shape	1-r1	code=system|227969	466	20	
after-shape	1-r1	code=system| (system only)	140	20	
after-shape	1-r1	status=final&code=227969	233	20	
after-shape	1-r1	code:text=glucose (documented scan)	4688	20	
after-shape	1-r1	no parameters (type page)	38	20	
after-shape	1-r1	_lastUpdated=ge2000-01-01 (all)	74	20	
after-shape	1-r1	_lastUpdated=ge2999-01-01 (none)	4	0	
after-shape	1-r1	date=ge2150-01-01	81	20	
after-shape	1-r1	value-quantity=gt100	1680	20	
after-shape	1-r1	Patient?family=a (string starts-with)	8	0	
after-shape	1-r1	Patient?family:exact=Smith	4	0	
after-shape	1-r1	_id=<big patient>	21	1	
after-shape	1-r1	searchCount subject=big	42	48554	
after-shape	1-r2	status=final&_sort=-date	1520	20	
after-shape	1-r2	subject=big&_sort=-date	382	20	
after-shape	1-r2	subject=small&_sort=-date	80	20	
after-shape	1-r2	subject=big	604	20	
after-shape	1-r2	Patient/big compartment Observation	633	20	
after-shape	1-r2	code=227969	206	20	
after-shape	1-r2	code=system|227969	620	20	
after-shape	1-r2	code=system| (system only)	71	20	
after-shape	1-r2	status=final&code=227969	229	20	
after-shape	1-r2	code:text=glucose (documented scan)	4669	20	
after-shape	1-r2	no parameters (type page)	29	20	
after-shape	1-r2	_lastUpdated=ge2000-01-01 (all)	79	20	
after-shape	1-r2	_lastUpdated=ge2999-01-01 (none)	3	0	
after-shape	1-r2	date=ge2150-01-01	81	20	
after-shape	1-r2	value-quantity=gt100	1623	20	
after-shape	1-r2	Patient?family=a (string starts-with)	4	0	
after-shape	1-r2	Patient?family:exact=Smith	2	0	
after-shape	1-r2	_id=<big patient>	6	1	
after-shape	1-r2	searchCount subject=big	35	48554	
after-shape	2-plan	token code	0	0	SEARCH token_search_parameters USING COVERING INDEX idx_token_search_parameters_value_cover (resource_type=? AND search_name=? AND token_value=?)
after-shape	2-plan	reference subject	0	0	SEARCH reference_search_parameters USING COVERING INDEX idx_reference_search_parameters_target_cover (resource_type=? AND search_name=? AND reference_resource_type=? AND reference_id_part=?)
after-shape	2-plan	date range	0	0	SEARCH date_search_parameters USING COVERING INDEX idx_date_search_parameters_low_cover (resource_type=? AND search_name=? AND date_value>?) | USE TEMP B-TREE FOR DISTINCT
after-shape	2-plan	string starts-with LIKE	0	0	SEARCH string_search_parameters USING INDEX idx_string_search_parameters_owner (resource_type=?)
after-shape	2-plan	string starts-with range	0	0	SEARCH string_search_parameters USING COVERING INDEX idx_string_search_parameters_value_cover (resource_type=? AND search_name=? AND string_value>? AND string_value<?) | USE TEMP B-TREE FOR DISTINCT
after-shape	2-plan	type page	0	0	SEARCH resources USING INDEX idx_resources_type_updated (resource_type=?)
after-shape	2-plan	last_updated range	0	0	SEARCH resources USING INDEX idx_resources_type_updated (resource_type=? AND last_updated>?)
after-shape	2-plan	owner delete	0	0	SEARCH token_search_parameters USING INDEX idx_token_search_parameters_owner (resource_type=? AND id=?)
after-shape	3-size	db bytes	0	0	6947524608
after-shape	3-dbstat	resources_history	0	0	1069707264
after-shape	3-dbstat	resources	0	0	1069318144
after-shape	3-dbstat	token_search_parameters	0	0	535465984
after-shape	3-dbstat	reference_search_parameters	0	0	505294848
after-shape	3-dbstat	idx_token_search_parameters_system_cover	0	0	437178368
after-shape	3-dbstat	idx_reference_search_parameters_value_cover	0	0	334376960
after-shape	3-dbstat	idx_reference_search_parameters_target_cover	0	0	334376960
after-shape	3-dbstat	composite_search_parameters	0	0	301236224
after-shape	3-dbstat	idx_token_search_parameters_value_cover	0	0	274096128
after-shape	3-dbstat	idx_token_search_parameters_owner	0	0	213204992
after-shape	3-dbstat	idx_reference_search_parameters_identifier_cover	0	0	200986624
after-shape	3-dbstat	idx_reference_search_parameters_owner	0	0	172322816
after-shape	3-dbstat	uri_search_parameters	0	0	147775488
after-shape	3-dbstat	idx_uri_search_parameters_value_cover	0	0	142032896
after-shape	3-dbstat	quantity_search_parameters	0	0	125968384
after-shape	3-dbstat	idx_composite_search_parameters_values_cover	0	0	111345664
after-shape	3-dbstat	date_search_parameters	0	0	104603648
after-shape	3-dbstat	idx_composite_search_parameters_owner	0	0	68235264
after-shape	3-dbstat	idx_date_search_parameters_low_cover	0	0	65773568
after-shape	3-dbstat	idx_date_search_parameters_high_cover	0	0	65773568
after-shape	3-dbstat	idx_quantity_search_parameters_high_cover	0	0	63029248
after-shape	3-dbstat	idx_quantity_search_parameters_low_cover	0	0	63025152
after-shape	3-dbstat	sqlite_autoindex_resources_history_1	0	0	62697472
after-shape	3-dbstat	sqlite_autoindex_resources_1	0	0	60715008
after-shape	3-dbstat	idx_uri_search_parameters_owner	0	0	54538240
after-shape	3-dbstat	idx_date_search_parameters_owner	0	0	53993472
after-shape	3-dbstat	string_search_parameters	0	0	46714880
after-shape	3-dbstat	idx_quantity_search_parameters_owner	0	0	42557440
after-shape	3-dbstat	idx_string_search_parameters_exact_cover	0	0	36909056
after-shape	3-dbstat	idx_string_search_parameters_value_cover	0	0	36782080
after-shape	3-dbstat	idx_resources_type_updated	0	0	26107904
after-shape	3-dbstat	idx_resources_history_type_updated	0	0	26107904
after-shape	3-dbstat	idx_string_search_parameters_owner	0	0	24670208
after-shape	3-dbstat	sqlite_schema	0	0	20480
after-shape	3-dbstat	users	0	0	4096
after-shape	3-dbstat	sync_resources	0	0	4096
after-shape	3-dbstat	sqlite_stat1	0	0	4096
after-shape	3-dbstat	sqlite_sequence	0	0	4096
after-shape	3-dbstat	sqlite_autoindex_users_1	0	0	4096
after-shape	3-dbstat	sqlite_autoindex_sync_resources_1	0	0	4096
after-shape	3-dbstat	sqlite_autoindex_revoked_tokens_1	0	0	4096
after-shape	3-dbstat	sqlite_autoindex_oauth_clients_1	0	0	4096
after-shape	3-dbstat	sqlite_autoindex_export_jobs_1	0	0	4096
after-shape	3-dbstat	sqlite_autoindex_canonical_resources_1	0	0	4096
after-shape	3-dbstat	sqlite_autoindex_authorization_codes_1	0	0	4096
after-shape	3-dbstat	special_search_parameters	0	0	4096
after-shape	3-dbstat	revoked_tokens	0	0	4096
after-shape	3-dbstat	oauth_clients	0	0	4096
after-shape	3-dbstat	number_search_parameters	0	0	4096
after-shape	3-dbstat	logs	0	0	4096
after-shape	3-dbstat	idx_uri_search_parameters_contained	0	0	4096
after-shape	3-dbstat	idx_token_search_parameters_contained	0	0	4096
after-shape	3-dbstat	idx_string_search_parameters_contained	0	0	4096
after-shape	3-dbstat	idx_special_search_parameters_value_cover	0	0	4096
after-shape	3-dbstat	idx_special_search_parameters_owner	0	0	4096
after-shape	3-dbstat	idx_special_search_parameters_contained	0	0	4096
after-shape	3-dbstat	idx_reference_search_parameters_contained	0	0	4096
after-shape	3-dbstat	idx_quantity_search_parameters_contained	0	0	4096
after-shape	3-dbstat	idx_number_search_parameters_owner	0	0	4096
after-shape	3-dbstat	idx_number_search_parameters_low_cover	0	0	4096
after-ranged	0-open	open (upgrade if behind)	169	18	
after-ranged	0-open	user_version	0	18	
after-ranged	0-open	createValueIndexes (IF NOT EXISTS)	9	0	
after-ranged	0-open	db bytes	0	0	6947524608
after-ranged	0-analyze	ANALYZE	2913	0	
after-ranged	0-patients	big patient 77e10fd0-6a1c-5547-a130-fae1341acf36	0	48554	
after-ranged	0-patients	small patient 42f0ed8f-d744-5edb-a05d-8e011c1fbd64	0	963	
after-ranged	0-patients	system of code 227969	0	0	http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-chartevents-d-items
after-ranged	1-r1	status=final&_sort=-date	1237	20	
after-ranged	1-r1	subject=big&_sort=-date	268	20	
after-ranged	1-r1	subject=small&_sort=-date	76	20	
after-ranged	1-r1	subject=big	177	20	
after-ranged	1-r1	Patient/big compartment Observation	179	20	
after-ranged	1-r1	code=227969	117	20	
after-ranged	1-r1	code=system|227969	138	20	
after-ranged	1-r1	code=system| (system only)	132	20	
after-ranged	1-r1	status=final&code=227969	154	20	
after-ranged	1-r1	code:text=glucose (documented scan)	135	20	
after-ranged	1-r1	no parameters (type page)	29	20	
after-ranged	1-r1	_lastUpdated=ge2000-01-01 (all)	44	20	
after-ranged	1-r1	_lastUpdated=ge2999-01-01 (none)	4	0	
after-ranged	1-r1	date=ge2150-01-01	61	20	
after-ranged	1-r1	value-quantity=gt100	1244	20	
after-ranged	1-r1	Patient?family=a (string starts-with)	10	0	
after-ranged	1-r1	Patient?family:exact=Smith	4	0	
after-ranged	1-r1	_id=<big patient>	18	1	
after-ranged	1-r1	searchCount subject=big	15	48554	
after-ranged	1-r2	status=final&_sort=-date	975	20	
after-ranged	1-r2	subject=big&_sort=-date	271	20	
after-ranged	1-r2	subject=small&_sort=-date	50	20	
after-ranged	1-r2	subject=big	121	20	
after-ranged	1-r2	Patient/big compartment Observation	134	20	
after-ranged	1-r2	code=227969	114	20	
after-ranged	1-r2	code=system|227969	115	20	
after-ranged	1-r2	code=system| (system only)	104	20	
after-ranged	1-r2	status=final&code=227969	193	20	
after-ranged	1-r2	code:text=glucose (documented scan)	149	20	
after-ranged	1-r2	no parameters (type page)	27	20	
after-ranged	1-r2	_lastUpdated=ge2000-01-01 (all)	26	20	
after-ranged	1-r2	_lastUpdated=ge2999-01-01 (none)	1	0	
after-ranged	1-r2	date=ge2150-01-01	43	20	
after-ranged	1-r2	value-quantity=gt100	1306	20	
after-ranged	1-r2	Patient?family=a (string starts-with)	1	0	
after-ranged	1-r2	Patient?family:exact=Smith	0	0	
after-ranged	1-r2	_id=<big patient>	4	1	
after-ranged	1-r2	searchCount subject=big	13	48554	
after-ranged	2-plan	token code	0	0	SEARCH token_search_parameters USING COVERING INDEX idx_token_search_parameters_value_cover (resource_type=? AND search_name=? AND token_value=?)
after-ranged	2-plan	reference subject	0	0	SEARCH reference_search_parameters USING COVERING INDEX idx_reference_search_parameters_target_cover (resource_type=? AND search_name=? AND reference_resource_type=? AND reference_id_part=?)
after-ranged	2-plan	date range	0	0	SEARCH date_search_parameters USING COVERING INDEX idx_date_search_parameters_low_cover (resource_type=? AND search_name=? AND date_value>?) | USE TEMP B-TREE FOR DISTINCT
after-ranged	2-plan	string starts-with LIKE	0	0	SEARCH string_search_parameters USING INDEX idx_string_search_parameters_owner (resource_type=?)
after-ranged	2-plan	string starts-with range	0	0	SEARCH string_search_parameters USING COVERING INDEX idx_string_search_parameters_value_cover (resource_type=? AND search_name=? AND string_value>? AND string_value<?) | USE TEMP B-TREE FOR DISTINCT
after-ranged	2-plan	type page	0	0	SEARCH resources USING INDEX idx_resources_type_updated (resource_type=?)
after-ranged	2-plan	last_updated range	0	0	SEARCH resources USING INDEX idx_resources_type_updated (resource_type=? AND last_updated>?)
after-ranged	2-plan	owner delete	0	0	SEARCH token_search_parameters USING INDEX idx_token_search_parameters_owner (resource_type=? AND id=?)
after-ranged	3-size	db bytes	0	0	6947524608
after-ranged	3-dbstat	resources_history	0	0	1069707264
after-ranged	3-dbstat	resources	0	0	1069318144
after-ranged	3-dbstat	token_search_parameters	0	0	535465984
after-ranged	3-dbstat	reference_search_parameters	0	0	505294848
after-ranged	3-dbstat	idx_token_search_parameters_system_cover	0	0	437178368
after-ranged	3-dbstat	idx_reference_search_parameters_value_cover	0	0	334376960
after-ranged	3-dbstat	idx_reference_search_parameters_target_cover	0	0	334376960
after-ranged	3-dbstat	composite_search_parameters	0	0	301236224
after-ranged	3-dbstat	idx_token_search_parameters_value_cover	0	0	274096128
after-ranged	3-dbstat	idx_token_search_parameters_owner	0	0	213204992
after-ranged	3-dbstat	idx_reference_search_parameters_identifier_cover	0	0	200986624
after-ranged	3-dbstat	idx_reference_search_parameters_owner	0	0	172322816
after-ranged	3-dbstat	uri_search_parameters	0	0	147775488
after-ranged	3-dbstat	idx_uri_search_parameters_value_cover	0	0	142032896
after-ranged	3-dbstat	quantity_search_parameters	0	0	125968384
after-ranged	3-dbstat	idx_composite_search_parameters_values_cover	0	0	111345664
after-ranged	3-dbstat	date_search_parameters	0	0	104603648
after-ranged	3-dbstat	idx_composite_search_parameters_owner	0	0	68235264
after-ranged	3-dbstat	idx_date_search_parameters_low_cover	0	0	65773568
after-ranged	3-dbstat	idx_date_search_parameters_high_cover	0	0	65773568
after-ranged	3-dbstat	idx_quantity_search_parameters_high_cover	0	0	63029248
after-ranged	3-dbstat	idx_quantity_search_parameters_low_cover	0	0	63025152
after-ranged	3-dbstat	sqlite_autoindex_resources_history_1	0	0	62697472
after-ranged	3-dbstat	sqlite_autoindex_resources_1	0	0	60715008
after-ranged	3-dbstat	idx_uri_search_parameters_owner	0	0	54538240
after-ranged	3-dbstat	idx_date_search_parameters_owner	0	0	53993472
after-ranged	3-dbstat	string_search_parameters	0	0	46714880
after-ranged	3-dbstat	idx_quantity_search_parameters_owner	0	0	42557440
after-ranged	3-dbstat	idx_string_search_parameters_exact_cover	0	0	36909056
after-ranged	3-dbstat	idx_string_search_parameters_value_cover	0	0	36782080
after-ranged	3-dbstat	idx_resources_type_updated	0	0	26107904
after-ranged	3-dbstat	idx_resources_history_type_updated	0	0	26107904
after-ranged	3-dbstat	idx_string_search_parameters_owner	0	0	24670208
after-ranged	3-dbstat	sqlite_schema	0	0	20480
after-ranged	3-dbstat	users	0	0	4096
