step	label	ms	rows	note
3-sql-r2	SQL sorted-set subject=big (cover)	191	20	
3-sql-r2	SQL string LIKE (as DAO, cover present)	0	0	
3-sql-r2	SQL string range (cover)	0	0	
3-sql-r2	SQL token (as DAO, cover present)	70	20	
3-sql-r2	SQL token (search_name only, cover)	0	20	
3-sql-r2	SQL type page ORDER BY last_updated (index)	0	20	
3-sql-r2	SQL _lastUpdated >= (index)	0	0	
3-plan	walk status (cover)	0	0	SEARCH d USING COVERING INDEX idx_review_date_cover (resource_type=? AND search_name=?) | SEARCH t EXISTS USING COVERING INDEX idx_review_token_cover (resource_type=? AND search_name=? AND token_value=? AND id=?)
3-plan	walk subject=big (cover)	0	0	SEARCH d USING COVERING INDEX idx_review_date_cover (resource_type=? AND search_name=?) | SEARCH r EXISTS USING COVERING INDEX idx_review_ref_cover (resource_type=? AND search_name=? AND reference_resource_type=? AND reference_id_part=? AND id=?)
3-plan	string range (cover)	0	0	SEARCH string_search_parameters USING COVERING INDEX idx_review_string_cover (resource_type=? AND search_name=? AND string_value>? AND string_value<?) | USE TEMP B-TREE FOR DISTINCT
3-plan	string LIKE as DAO (cover present)	0	0	SEARCH string_search_parameters USING INDEX sqlite_autoindex_string_search_parameters_1 (resource_type=?)
3-plan	token search_name only (cover)	0	0	SEARCH token_search_parameters USING COVERING INDEX idx_review_token_cover (resource_type=? AND search_name=? AND token_value=?)
3-plan	type page (index)	0	0	SEARCH resources USING INDEX idx_review_resources_lu (resource_type=?)
4-dbstat	resources_history	0	0	1069707264
4-dbstat	resources	0	0	1069318144
4-dbstat	token_search_parameters	0	0	613015552
4-dbstat	reference_search_parameters	0	0	607555584
4-dbstat	sqlite_autoindex_token_search_parameters_1	0	0	367235072
4-dbstat	sqlite_autoindex_reference_search_parameters_1	0	0	335110144
4-dbstat	idx_review_ref_cover	0	0	334372864
4-dbstat	composite_search_parameters	0	0	316473344
4-dbstat	idx_review_token_cover	0	0	274112512
4-dbstat	idx_token_system	0	0	240717824
4-dbstat	uri_search_parameters	0	0	172675072
4-dbstat	quantity_search_parameters	0	0	153174016
4-dbstat	idx_ref_id	0	0	148668416
4-dbstat	date_search_parameters	0	0	125968384
4-dbstat	sqlite_autoindex_composite_search_parameters_1	0	0	124043264
4-dbstat	sqlite_autoindex_uri_search_parameters_1	0	0	95854592
4-dbstat	sqlite_autoindex_quantity_search_parameters_1	0	0	95809536
4-dbstat	idx_uri_value	0	0	93069312
4-dbstat	sqlite_autoindex_date_search_parameters_1	0	0	92377088
4-dbstat	idx_token_value	0	0	67207168
4-dbstat	idx_review_date_cover	0	0	65757184
4-dbstat	sqlite_autoindex_resources_history_1	0	0	62697472
4-dbstat	string_search_parameters	0	0	61468672
4-dbstat	sqlite_autoindex_resources_1	0	0	60715008
4-dbstat	idx_ref_type	0	0	54501376
4-dbstat	sqlite_autoindex_string_search_parameters_1	0	0	50679808
4-dbstat	idx_review_string_cover	0	0	36782080
4-dbstat	idx_ref_identifier_val	0	0	30105600
4-dbstat	idx_ref_identifier_sys	0	0	30105600
4-dbstat	idx_review_resources_lu	0	0	26107904
4-dbstat	idx_date_value_end	0	0	16101376
4-dbstat	idx_date_value	0	0	16011264
4-dbstat	idx_quantity_low	0	0	14311424
4-dbstat	idx_quantity_high	0	0	14237696
4-dbstat	idx_string_value	0	0	11321344
4-dbstat	sqlite_schema	0	0	20480
4-dbstat	users	0	0	4096
4-dbstat	sync_resources	0	0	4096
4-dbstat	sqlite_stat1	0	0	4096
4-dbstat	sqlite_sequence	0	0	4096
